HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0000017	OG0000003	n0		ECL_02937 ISEhe3 transposase A, ECL_02775 ISEhe3 transposase A, ECL_00390 putative transposase, ECL_02712 ISEhe3 transposase A, ECL_A269 ISEhe3 orfA, ECL_03488 hypothetical protein, ECL_03590 ISEhe3 orfA, ECL_04203 ISEhe3 orfA, ECL_02135 hypothetical protein, ECL_03689 putative transposase, ECL_A129 putative IS911 transposase orfB, ECL_02832 putative IS911 trasposase orfB, ECL_02132 IS911 transposase orfA, ECL_02281 putative IS911 transposase orfB, ECL_04210 putative IS911 transposase orfB, ECL_03218 putative IS911 transposase orfB, ECL_03581 putative IS911 transposase orfB, ECL_00521 IS911 orfB, ECL_00483 hypothetical protein, ECL_00461 IS3 family transposase orfA, ECL_A052 putative IS911 transposase orfA, ECL_A191 putative IS3 family transposase orfA	
N0.HOG0000018	OG0000004	n0	b0360 _insC1_ IS2 element protein InsA, b1403 _insC2_ IS2 insertion element repressor InsA, b4272 _insC6_ IS2 insertion element repressor InsA, b2861 _insC4_ IS2 insertion element repressor InsA, b1997 _insC3_ IS2 insertion element repressor InsA, b3044 _insC5_ IS2 insertion element repressor InsA	ECL_00518 hypothetical protein, ECL_04201 putative transposase, ECL_A265 IS2 transposase orfA, ECL_05018 hypothetical protein, ECL_02064 hypothetical protein, ECL_00145 hypothetical protein, ECL_04894 putative transposase, ECL_03210 putative transposase, ECL_02290 hypothetical protein, ECL_03484 hypothetical protein, ECL_01115 hypothetical protein, ECL_01699 putative transposase, ECL_00686 putative transposase	
N0.HOG0000019	OG0000005	n1	b1421 _trg_ methyl-accepting chemotaxis protein Trg	ECL_02058 methyl-accepting chemotaxis sensory transducer	
N0.HOG0000020	OG0000005	n4		ECL_03285 _mcp_ methyl-accepting chemotaxis protein, ECL_01827 methyl-accepting chemotaxis sensory transducer, ECL_01991 methyl-accepting chemotaxis sensory transducer, ECL_00581 methyl-accepting chemotaxis sensory transducer, ECL_01608 methyl-accepting chemotaxis sensory transducer, ECL_04456 methyl-accepting chemotaxis sensory transducer, ECL_01934 hypothetical protein, ECL_00635 methyl-accepting chemotaxis sensory transducer	
N0.HOG0000021	OG0000005	n15	b1886 _tar_ methyl-accepting chemotaxis protein Tar	ECL_01412 methyl-accepting chemotaxis sensory transducer	
N0.HOG0000022	OG0000005	n16	b4355 _tsr_ methyl-accepting chemotaxis protein Tsr	ECL_00760 methyl-accepting chemotaxis sensory transducer	
N0.HOG0000023	OG0000006	n0	b0541 _insF3_ IS3 element protein InsF, b0372 _insF2_ IS3 element protein InsF, b1026 _insF4_ IS3 element protein InsF, b2089 _insF5_ IS3 element protein InsF, b0299 _insF1_ IS3 element protein InsF	ECL_A253 putative transposase, ECL_03591 ISEhe3 orfB, ECL_04204 ISEhe3 orfB, ECL_00389 putative transposase, ECL_02711 ISEhe3 transposase B, ECL_02774 ISEhe3 transposase B, ECL_03592 putative transposase, ECL_A270 ISEhe3 orfB, ECL_03487 hypothetical protein, ECL_02936 ISEhe3 transposase B	VK055_0442 integrase core domain protein
N0.HOG0000024	OG0000007	n0	b0809 _glnQ_ L-glutamine ABC transporter ATP binding subunit	ECL_02651 allantoate transport ATPase protein, ECL_02922 glutamine ABC transporter ATP-binding protein	VK055_0365 _artP_ amino acid ABC transporter, VK055_1962 ABC transporter family protein, VK055_4544 amino ABC transporter_ permease_ 3-TM region_ His/Glu/Gln/Arg/opine family domain protein, VK055_2259 ABC transporter family protein, VK055_2268 _phnC_ phosphonate ABC transporter_ ATP-binding protein, VK055_0835 ABC transporter family protein, VK055_4368 ABC transporter family protein, VK055_1073 ABC transporter family protein, VK055_4341 cobalt ABC transporter_ ATP-binding family protein, VK055_3483 ABC transporter family protein, VK055_4185 ABC transporter family protein, VK055_0726 ABC transporter family protein, VK055_1691 _glnQ_ glnQ
N0.HOG0000025	OG0000008	n1	b1377 _ompN_ outer membrane porin N	ECL_01838 outer membrane pore protein N_ non-specific	VK055_1057 _ompC2_ outer membrane protein C
N0.HOG0000026	OG0000008	n6	b2215 _ompC_ outer membrane porin C	ECL_03519 OmpC porin	VK055_4885 _ompC4_ outer membrane protein C
N0.HOG0000027	OG0000008	n10	b0241 _phoE_ outer membrane porin PhoE	ECL_01073 outer membrane phosphoporin protein E	VK055_2278 gram-negative porin family protein
N0.HOG0000028	OG0000008	n12	b0929 _ompF_ outer membrane porin F	ECL_02724 OmpF porin	
N0.HOG0000029	OG0000008	n13		ECL_01898 putative outer membrane porin precursor	VK055_1527 _ompC3_ outer membrane protein C
N0.HOG0000030	OG0000009	n1	b1485 _ddpC_ putative D_D-dipeptide ABC transporter membrane subunit DdpC	ECL_01920 peptide/nickel transport system permease protein	VK055_1957 N-terminal TM domain of oligopeptide transport permease C family protein, VK055_4990 binding-protein-dependent transport system innermembrane component family protein
N0.HOG0000031	OG0000009	n5	b0832 _gsiD_ glutathione ABC transporter membrane subunit GsiD	ECL_02886 peptide/nickel transport system permease protein, ECL_01050 peptide/nickel transport system permease protein	VK055_1662 N-terminal TM domain of oligopeptide transport permease C family protein, VK055_0454 binding-protein-dependent transport system innermembrane component family protein, VK055_1972 binding-protein-dependent transport system innermembrane component family protein
N0.HOG0000032	OG0000009	n10	b3478 _nikC_ Ni_2_+__ ABC transporter membrane subunit NikC		VK055_0628 binding-protein-dependent transport system innermembrane component family protein, VK055_4186 binding-protein-dependent transport system innermembrane component family protein, VK055_3618 _nikC_ nickel ABC transporter_ permease subunit NikC
N0.HOG0000033	OG0000010	n6			VK055_2301 short chain dehydrogenase family protein, VK055_3067 short chain dehydrogenase family protein
N0.HOG0000034	OG0000010	n8	b2541 _hcaB_ 2_3-dihydroxy-2_3-dihydrophenylpropionate dehydrogenase		VK055_2017 short chain dehydrogenase family protein
N0.HOG0000035	OG0000010	n9	b1619 _hdhA_ 7-alpha-hydroxysteroid dehydrogenase		VK055_4980 _rbtD_ ribitol 2-dehydrogenase
N0.HOG0000036	OG0000010	n10	b4266 _idnO_ 5-keto-D-gluconate 5-reductase		VK055_0788 _fabG2_ 3-oxoacyl-_Acyl-carrier-protein_ reductase
N0.HOG0000037	OG0000010	n11	b2842 _kduD_ putative 2-keto-3-deoxy-D-gluconate dehydrogenase	ECL_04175 2-deoxy-D-gluconate 3-dehydrogenase	VK055_4258 _kduD2_ 2-deoxy-D-gluconate 3-dehydrogenase
N0.HOG0000038	OG0000011	n0	b1994 _insH6_ IS5 family transposase and trans-activator, b1331 _insH4_ IS5 family transposase and trans-activator, b2192 _insH8_ IS5 family transposase and trans-activator, b0552 _insH2_ IS5 family transposase and trans-activator, b2030 _insH7_ IS5 family transposase and trans-activator, b0656 _insH3_ IS5 family transposase and trans-activator, b4711 _insH21_ IS5 family transposase and trans-activator, b3218 _insH10_ IS5 family transposase and trans-activator, b1370 _insH5_ IS5 family transposase and trans-activator, b0259 _insH1_ IS5 family transposase and trans-activator, b3505 _insH11_ IS5 family transposase and trans-activator, b2982 _insH9_ IS5 family transposase and trans-activator	ECL_00392 putative transposase	
N0.HOG0000039	OG0000012	n1	b0270 _yagG_ putative D-xylonate transporter YagG	ECL_01522 hypothetical protein, ECL_00708 sugar transporter protein, ECL_02391 putative symporter, ECL_00675 phage predicted sugar transporter	VK055_0592 _gph_ sugar _Glycoside-Pentoside-Hexuronide_ transporter domain protein, VK055_2723 _gph3_ sugar _Glycoside-Pentoside-Hexuronide_ transporter domain protein
N0.HOG0000040	OG0000012	n7	b3657 _yicJ_ putative xyloside transporter YicJ	ECL_00909 sugar _glycoside-Pentoside-hexuronide_ transporter, ECL_00182 conserved hypothetical protein	VK055_2456 _gph2_ sugar _Glycoside-Pentoside-Hexuronide_ transporter domain protein, VK055_4050 _gph7_ sugar _Glycoside-Pentoside-Hexuronide_ transporter domain protein, VK055_3448 _gph5_ sugar _Glycoside-Pentoside-Hexuronide_ transporter domain protein
N0.HOG0000041	OG0000013	n1	b3266 _acrF_ multidrug efflux pump RND permease AcrF	ECL_04650 Cation/multidrug efflux pump	VK055_3802 _acrB2_ acrB RND-type permease
N0.HOG0000042	OG0000013	n4	b0462 _acrB_ multidrug efflux pump RND permease AcrB	ECL_01233 _acrB_ AcrB protein	VK055_2106 _acrB_ acrB RND-type permease
N0.HOG0000043	OG0000013	n7	b2470 _acrD_ multidrug efflux pump RND permease AcrD	ECL_03767 aminoglycoside/multidrug efflux system	VK055_4708 _acrD_ acrD
N0.HOG0000044	OG0000013	n9	b3514 _mdtF_ multidrug efflux pump RND permease MdtF	ECL_01758 acridine efflux pump, ECL_00054 _eefB_ multidrug efflux transport protein EefB	VK055_3426 _acrB3_ acrB RND-type permease
N0.HOG0000045	OG0000014	n0	b3749 _rbsA_ ribose ABC transporter ATP binding subunit	ECL_05132 ribose transport system ATP-binding protein, ECL_03805 _rbsA_ ribose transport system ATP-binding protein, ECL_00345 ribose ABC superfamily ATP binding component	VK055_3319 _ccmA11_ heme ABC exporter_ ATP-binding protein CcmA, VK055_2041 _ccmA6_ heme ABC exporter_ ATP-binding protein CcmA, VK055_2687 _ccmA8_ heme ABC exporter_ ATP-binding protein CcmA, VK055_3268 _ccmA10_ heme ABC exporter_ ATP-binding protein CcmA, VK055_0765 ABC transporter family protein, VK055_4087 ABC transporter family protein, VK055_1938 _ccmA5_ heme ABC exporter_ ATP-binding protein CcmA, VK055_1893 ABC transporter family protein, VK055_2978 ABC transporter family protein
N0.HOG0000046	OG0000015	n0		ECL_00144 conserved hypothetical protein, ECL_02289 conserved hypothetical protein, ECL_A266 IS2 transposase orfB, ECL_00517 putative transposase, ECL_01698 putative transposase, ECL_03483 conserved hypothetical protein, ECL_05017 conserved hypothetical protein, ECL_00687 putative transposase, ECL_04202 putative transposase, ECL_03211 putative transposase, ECL_04895 putative transposase, ECL_02065 conserved hypothetical protein, ECL_01116 conserved hypothetical protein	
N0.HOG0000047	OG0000016	n0		ECL_A124 putative IS3 family transposase orfB, ECL_03418 putative IS3 family transposase orfB, ECL_02130 hypothetical protein, ECL_02710 putative IS3 family transposase orfB, ECL_03481 putative IS3 family transposase orfB, ECL_02588 putative IS3 family transposase orfB, ECL_03811 putative IS3 family transposase orfB, ECL_00164 hypothetical protein, ECL_00394 putative IS3 family transposase orfB, ECL_02475 putative IS3 family transposase orfB, ECL_03702 hypothetical protein, ECL_00682 hypothetical protein	VK055_2729 integrase core domain protein
N0.HOG0000048	OG0000017	n0		ECL_02296 putative transposase, ECL_A125 putative IS3 family transposase orfA, ECL_02587 putative IS3 family transposase orfA, ECL_03417 putative IS3 family transposase orfA, ECL_02709 putative IS3 family transposase orfA, ECL_02131 IS3 family transposase, ECL_03480 putative IS3 family transposase orfA, ECL_02474 putative IS3 family transposase orfA, ECL_00395 putative IS3 family transposase orfA, ECL_03812 putative IS3 family transposase orfA, ECL_00165 IS3/IS911 family transposase, ECL_03703 putative IS3 family transposase orfA	VK055_2731 transposase family protein
N0.HOG0000049	OG0000018	n0		ECL_03580 putative IS911 transposase orfA, ECL_02833 putative IS911 trasposase orfA, ECL_04209 putative IS911 transposase orfA, ECL_02280 putative IS911 transposase orfA, ECL_00482 integrase core subunit, ECL_00462 IS3 family transposase orfB, ECL_A192 putative IS3 family transposase orfB, ECL_A051 putative IS911 transposase orfB, ECL_02134 IS911 transposase orfB, ECL_A128 putative IS911 transposase orfA, ECL_03217 putative IS911 transposase orfA, ECL_00520 IS911 orfA, ECL_02133 IS911 transposase orfB	
N0.HOG0000050	OG0000019	n1	b0863 _artI_ putative ABC transporter periplasmic binding protein ArtI	ECL_02808 arginine transporter_ periplasmic binding protein	VK055_1592 _artI_ artI
N0.HOG0000051	OG0000019	n3	b0860 _artJ_ L-arginine ABC transporter periplasmic binding protein	ECL_02811 arginine-binding periplasmic protein 2 precursor	VK055_4545 bacterial extracellular solute-binding_ 3 familyprotein, VK055_1965 bacterial extracellular solute-binding_ 3 familyprotein, VK055_2258 bacterial extracellular solute-binding_ 3 familyprotein, VK055_4539 bacterial extracellular solute-binding_ 3 familyprotein, VK055_0363 bacterial extracellular solute-binding_ 3 familyprotein, VK055_2905 _artI3_ artI, VK055_1595 _artI2_ artI
N0.HOG0000052	OG0000020	n0	b0914 _msbA_ ATP-binding lipopolysaccharide transport protein	ECL_02740 lipid transporter ATP-binding/permease protein, ECL_00077 hypothetical protein, ECL_01771 _lipB_ Lipase secretion B, ECL_01042 type I secretion system ATPase, ECL_03982 type I secretion system ATPase family protein, ECL_02074 type I secretion membrane protein_ ATP binding protein_ protein export, ECL_01832 lipid transporter ATP-binding/permease protein	VK055_1543 _msbA_ lipid A export permease/ATP-binding protein MsbA, VK055_5102 _iroC_ lipid A export permease/ATP-binding protein MsbA, VK055_5123 _ybtP_ ABC transporter family protein, VK055_5124 _ybtQ_ ABC transporter family protein
N0.HOG0000053	OG0000021	n1	b2349 _intS_ prophage CPS-53 integrase	ECL_01076 hypothetical protein, ECL_03688 putative integrase	
N0.HOG0000054	OG0000021	n4	b2622 _intA_ integrase IntA	ECL_03606 integrase family protein	VK055_5127 _int2_ CP4-like integrase, VK055_4075 phage integrase family protein, VK055_2765 _int3_ integrase
N0.HOG0000055	OG0000021	n8	b2442 _intZ_ putative phage integrase IntZ	ECL_01690 integrase family protein, ECL_00396 putative integrase	VK055_1425 phage integrase
N0.HOG0000056	OG0000022	n1	b0197 _metQ_ L-methionine/D-methionine ABC transporter membrane anchored binding protein	ECL_01001 DL-methionine transporter substrate-binding subunit	VK055_2355 _metQ2_ metQ
N0.HOG0000057	OG0000022	n3	b3661 _nlpA_ lipoprotein-28	ECL_00058 cytoplasmic membrane lipoprotein-28, ECL_02357 D-methionine transport system substrate-binding protein	VK055_3437 _metQ3_ metQ, VK055_0288 _metQ_ metQ, VK055_1074 NLPA lipofamily protein, VK055_4370 NLPA lipofamily protein, VK055_0834 NLPA lipofamily protein
N0.HOG0000058	OG0000023	n1			VK055_4537 fimbrial family protein, VK055_0814 fimbrial family protein, VK055_4533 fimbrial family protein, VK055_2925 fimbrial family protein
N0.HOG0000059	OG0000023	n5	b0719 _ybgD_ putative fimbrial protein YbgD	ECL_04372 putative fimbrial protein	
N0.HOG0000060	OG0000023	n6	b3043 _ygiL_ putative fimbrial protein YgiL	ECL_01104 hypothetical protein, ECL_00370 Major fimbrial subunit PmfA, ECL_00374 Putative minor fimbrial subunit PmfF, ECL_04368 putative fimbrial protein	
N0.HOG0000061	OG0000024	n1	b0895 _dmsB_ dimethyl sulfoxide reductase subunit B	ECL_02755 anaerobic dimethyl sulfoxide reductase_ B subunit, ECL_02190 anaerobic dimethyl sulfoxide reductase_ B subunit	VK055_1558 _dmsB2_ dimethylsulfoxide reductase_ chain B, VK055_0921 _dmsB_ dimethylsulfoxide reductase_ chain B
N0.HOG0000062	OG0000024	n5	b1589 _ynfG_ putative oxidoreductase YnfG, b2996 _hybA_ hydrogenase 2 iron-sulfur protein, b1674 _ydhY_ putative 4Fe-4S ferredoxin-like protein YdhY, b4072 _nrfC_ putative menaquinol-cytochrome c reductase 4Fe-4S subunit, b1671 _ydhX_ putative 4Fe-4S ferredoxin-like protein YdhX	ECL_03863 _dmsB_ anaerobic dimethyl sulfoxide reductase subunit B	
N0.HOG0000063	OG0000025	n1	b4315 _fimI_ putative fimbrial protein FimI	ECL_01279 _fimI_ fimbrial protein	VK055_4232 fimbrial family protein
N0.HOG0000064	OG0000025	n4	b1504 _ydeS_ putative fimbrial protein YdeS, b4318 _fimF_ type 1 fimbriae minor subunit FimF	ECL_00090 P pilus assembly protein_ pilin FimA	VK055_4229 fimbrial family protein
N0.HOG0000065	OG0000025	n7	b0943 _ycbV_ putative fimbrial protein YcbV, b2333 _yfcP_ putative fimbrial protein YfcP, b0938 _elfA_ putative laminin-binding fimbrial subunit		VK055_2997 fimbrial family protein
N0.HOG0000066	OG0000026	n0	b1247 _oppF_ murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF	ECL_01641 peptide/nickel transport system ATP-binding component	VK055_0452 oligopeptide/dipeptide ABC transporter_ ATP-binding_ C-terminal domain protein, VK055_0627 _nikE_ nickel import ATP-binding protein NikE, VK055_4991 ABC transporter family protein, VK055_1970 oligopeptide/dipeptide ABC transporter_ ATP-binding_ C-terminal domain protein, VK055_1959 ABC transporter family protein, VK055_4992 ABC transporter family protein, VK055_4184 ABC transporter family protein, VK055_1971 oligopeptide/dipeptide ABC transporter_ ATP-binding_ C-terminal domain protein, VK055_0262 oligopeptide/dipeptide ABC transporter_ ATP-binding_ C-terminal domain protein
N0.HOG0000067	OG0000027	n0	b1441 _ydcT_ putative ABC transporter ATP-binding protein YdcT	ECL_01850 putative spermidine/putrescine transport system ATP-binding protein	VK055_0377 ABC transporter family protein, VK055_3013 ABC transporter family protein, VK055_2773 _ugpC2_ ugpC, VK055_0423 ABC transporter family protein, VK055_0355 ABC transporter family protein, VK055_0690 ABC transporter family protein, VK055_0596 ABC transporter family protein, VK055_3405 _phnT_ 2-aminoethylphosphonate ABC transport system_ ATP-binding component PhnT, VK055_0554 ABC transporter family protein
N0.HOG0000068	OG0000028	n0	b2808 _gcvA_ DNA-binding transcriptional dual regulator GcvA	ECL_04134 DNA-binding transcriptional activator GcvA, ECL_03996 LysR family transcriptional regulator	VK055_4352 _gcvA2_ gcvA transcriptional dual regulator, VK055_5068 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1189 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0785 _gcvA_ gcvA transcriptional dual regulator, VK055_1144 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0468 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1948 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_1706 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000069	OG0000029	n0			VK055_2927 type VII secretion system _T7SS__ usher family protein, VK055_2995 type VII secretion system _T7SS__ usher family protein, VK055_4532 type VII secretion system _T7SS__ usher family protein, VK055_0816 type VII secretion system _T7SS__ usher family protein, VK055_4073 type VII secretion system _T7SS__ usher family protein, VK055_4181 papC C-terminal domain protein, VK055_4180 type VII secretion system _T7SS__ usher family protein, VK055_4535 type VII secretion system _T7SS__ usher family protein, VK055_4244 type VII secretion system _T7SS__ usher family protein, VK055_4230 type VII secretion system _T7SS__ usher family protein, VK055_2288 type VII secretion system _T7SS__ usher family protein
N0.HOG0000070	OG0000030	n1	b0576 _pheP_ phenylalanine_H_+_ symporter PheP	ECL_03169 phenylalanine transporter	VK055_2002 amino acid permease family protein
N0.HOG0000071	OG0000030	n3	b0112 _aroP_ aromatic amino acid_H_+_ symporter AroP	ECL_00910 aromatic amino acid transporter	VK055_2248 _eat_ ethanolamine permease, VK055_1734 amino acid permease family protein, VK055_1011 amino acid permease family protein, VK055_1068 amino acid permease family protein, VK055_2455 amino acid permease family protein
N0.HOG0000072	OG0000031	n1	b0570 _cusS_ sensor histidine kinase CusS	ECL_A036 _cusS_ silver resistance two-component system sensor kinase, ECL_04898 _cusS_ sensor kinase CusS, ECL_01958 _cusS_ two-component system_ OmpR family_ heavy metal sensor histidine kinase CusS	VK055_2703 heavy metal sensor kinase family protein
N0.HOG0000073	OG0000031	n5	b1968 _hprS_ sensor histidine kinase HprS	ECL_A012 _pcoS_ copper resistant sensor kinase PcoS, ECL_04876 _pcoS_ two-component system_ OmpR family_ heavy metal sensor histidine kinase CusS, ECL_03538 two-component system_ OmpR family_ sensor histidine kinase TctE, ECL_A014 hypothetical protein	
N0.HOG0000074	OG0000032	n0	b1095 _fabF_ 3-oxoacyl-[acyl carrier protein] synthase 2	ECL_02541 3-oxoacyl-_acyl carrier protein_ synthase II, ECL_01031 hypothetical protein, ECL_00608 beta-ketoacyl synthase, ECL_04852 3-oxoacyl-_acyl carrier protein_ synthase I, ECL_01030 beta-ketoacyl-ACP synthase, ECL_04855 3-oxoacyl-_acyl carrier protein_ synthase II, ECL_00383 3-oxoacyl-[acyl-carrier-protein] synthase II	VK055_1372 _fabF_ beta-ketoacyl-acyl-carrier-protein synthase II, VK055_0712 _fabF2_ beta-ketoacyl-acyl-carrier-protein synthase II
N0.HOG0000075	OG0000033	n1	b2901 _bglA_ 6-phospho-beta-glucosidase A	ECL_04228 glycoside hydrolase family protein	VK055_4152 _bglA_ aryl-phospho-beta-D-glucosidase BglA
N0.HOG0000076	OG0000033	n4		ECL_03789 6-phospho-beta-glucosidase	VK055_4688 glycosyl hydrolase 1 family protein
N0.HOG0000077	OG0000033	n6	b2716 _ascB_ 6-phospho-beta-glucosidase AscB	ECL_04055 cryptic 6-phospho-beta-glucosidase	VK055_4462 glycosyl hydrolase 1 family protein
N0.HOG0000078	OG0000033	n8	b3721 _bglB_ 6-phospho-beta-glucosidase B		VK055_4946 _bglH_ aryl-phospho-beta-D-glucosidase BglH
N0.HOG0000079	OG0000034	n0	b3544 _dppA_ dipeptide ABC transporter periplasmic binding protein	ECL_00229 extracellular solute-binding protein, ECL_01048 peptide/nickel transport system substrate-binding protein, ECL_02029 extracellular solute-binding protein	VK055_3568 dppA, VK055_0630 bacterial extracellular solute-binding_ 5 Middlefamily protein, VK055_4188 bacterial extracellular solute-binding_ 5 Middlefamily protein, VK055_0456 bacterial extracellular solute-binding_ 5 Middlefamily protein, VK055_4988 bacterial extracellular solute-binding_ 5 Middlefamily protein, VK055_0563 dppA
N0.HOG0000080	OG0000035	n0		ECL_00344 ribose ABC superfamily permease component	VK055_2979 branched-chain amino acid transport system / permease component family protein, VK055_1895 branched-chain amino acid transport system / permease component family protein, VK055_1894 branched-chain amino acid transport system / permease component family protein, VK055_0764 branched-chain amino acid transport system / permease component family protein, VK055_1939 branched-chain amino acid transport system / permease component family protein, VK055_3270 branched-chain amino acid transport system / permease component family protein, VK055_3269 branched-chain amino acid transport system / permease component family protein, VK055_2686 branched-chain amino acid transport system / permease component family protein, VK055_2040 branched-chain amino acid transport system / permease component family protein
N0.HOG0000081	OG0000036	n0		ECL_03164 oxidoreductase domain-containing protein, ECL_03803 putative dehydrogenase, ECL_00620 hypothetical protein, ECL_00618 hypothetical protein, ECL_00621 hypothetical protein	VK055_1999 oxidoreductase_ NAD-binding Rossmann fold family protein, VK055_0693 oxidoreductase_ Gfo/Idh/MocA family, VK055_2173 oxidoreductase_ Gfo/Idh/MocA family, VK055_2046 oxidoreductase_ NAD-binding Rossmann fold family protein, VK055_2045 oxidoreductase_ NAD-binding Rossmann fold family protein
N0.HOG0000082	OG0000037	n1	b3422 _rtcR_ DNA-binding transcriptional activator RtcR		VK055_2632 AAA domain family protein
N0.HOG0000083	OG0000037	n4	b0330 _prpR_ DNA-binding transcriptional dual regulator PrpR		VK055_4527 AAA domain family protein
N0.HOG0000084	OG0000037	n5	b2491 _hyfR_ DNA-binding transcriptional activator HyfR, b2220 _atoC_ DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC, b4004 _zraR_ DNA-binding transcriptional activator ZraR		VK055_3087 response regulator
